year,sector,sub_sector,food_type,cause_group,cause_name,tons_surplus_due_to_cause,us_dollars_surplus_due_to_cause,tons_inedible_parts,tons_not_fit_for_human_consumption
2022,Farm,Not Applicable,Dry Goods,Buyer Rejections,Buyer Rejections,7.207199999999919,6524.118748923886,0,0
2022,Farm,Not Applicable,Dry Goods,Excess,Packhouse Losses (Not Marketable),5.566399999999937,5038.829865136241,0,0
2022,Farm,Not Applicable,Dry Goods,Not Harvested,Fields Never Harvested (Bad Weather),51546.59268459698,34313258.07460931,0,51546.59268459698
2022,Farm,Not Applicable,Dry Goods,Not Harvested,Fields Never Harvested (Food Safety),0.6804527248452038,351.11311902586874,0,0.6804527248452038
2022,Farm,Not Applicable,Dry Goods,Not Harvested,Fields Never Harvested (Market Dynamics),181.25822905544095,138057.05795214672,0,0
2022,Farm,Not Applicable,Dry Goods,Not Harvested,Fields Never Harvested (Other),337.7910471987517,223265.3745996588,0,337.7910471987517
2022,Farm,Not Applicable,Dry Goods,Not Harvested,Fields Never Harvested (Pests/Disease),908.6775864239796,470834.7758,0,908.6775864239796
2022,Farm,Not Applicable,Dry Goods,Not Harvested,Left Behind After Harvest (Inedible),30894.41835352801,66191365.001553304,0,30894.41835352801
2022,Farm,Not Applicable,Dry Goods,Not Harvested,Left Behind After Harvest (Marketable),51239.116240208496,57276501.56902892,0,0
2022,Farm,Not Applicable,Dry Goods,Not Harvested,Left Behind After Harvest (Not Marketable),36305.333736544584,47323044.45051022,0,0
2022,Farm,Not Applicable,Dry Goods,Spoiled,Packhouse Losses (Inedible),73.95359999999916,66944.45392252434,0,73.95359999999916
2022,Farm,Not Applicable,Produce,Buyer Rejections,Buyer Rejections,548867.2322300377,245349687.92049566,128579.75315293978,0
2022,Farm,Not Applicable,Produce,Excess,Packhouse Losses (Not Marketable),306372.15649855294,163904252.9325531,65930.94697284195,0
2022,Farm,Not Applicable,Produce,Not Harvested,Fields Never Harvested (Bad Weather),506560.49886909424,186270463.61614552,121955.95139933808,506560.49886909424
